"","author","title","journal","keywords","extra_keywords","abstract","publisher","pubdate","pubyear","doi2","affil","affil2","doi_methods"
"1","Newton, Adrian C.
Boscolo, Danilo
Ferreira, Patricia A.
Lopes, Luciano E.
Evans, Paul","Impacts of deforestation on plant-pollinator networks assessed using an
agent based model","PLOS ONE","ANIMAL MUTUALISTIC NETWORKS; ATLANTIC FOREST; HABITAT LOSS; CROP YIELD;
LANDSCAPE; SPECIALIZATION; BEHAVIOR; METRICS; BEES; ARCHITECTURE",NA,"Plant-pollinator networks have been widely used to understand the ecology of mutualistic interactions between plants and animals. While a number of general patterns have been identified, the mechanisms underlying the structure of plant-pollinator networks are poorly understood. Here we present an agent based model (ABM) that simulates the movement of bees over heterogeneous landscapes and captures pollination events, enabling the influence of landscape pattern on pollination networks to be explored. Using the model, we conducted a series of experiments using virtual landscapes representing a gradient of forest loss and fragmentation. The ABM was able to produce expected trends in network structure, from simulations of interactions between individual plants and pollinators. For example, results indicated an increase in the index of complementary specialization (H-2') and a decline in network connectance with increasing forest cover. Furthermore, network nestedness was not associated with the degree of forest cover, but was positively related to forest patch size, further supporting results obtained in the field. This illustrates the potential value of ABMs for exploring the structure and dynamics of plant-pollinator networks, and for understanding the mechanisms that underlie them. We attribute the results obtained primarily to a shift from specialist to generalist pollinators with increasing forest loss, a trend that has been observed in some field situations.","PUBLIC LIBRARY SCIENCE","DEC 31",2018,"101371journalpone0209406","[Newton, Adrian C.; Evans, Paul] Bournemouth Univ, Fac Sci & Technol, Talbot Campus, Poole, Dorset, England./[Boscolo, Danilo; Ferreira, Patricia A.] Univ Sao Paulo, Fac Philosophy Sci & Literature Ribeirao Preto, Biol Dept, Ribeirao Preto, Brazil./[Boscolo, Danilo; Ferreira, Patricia A.] Univ Sao Paulo, FFCLRP, Sao Paulo, Brazil./[Lopes, Luciano E.] Univ Fed Sao Carlos, Dept Ciencias Ambientais, Ctr Ciencias Biol & Saude, Sao Carlos, SP, Brazil.","Newton, AC (reprint author), Bournemouth Univ, Fac Sci & Technol, Talbot Campus, Poole, Dorset, England.",NA
"2","Eyer, Pierre-Andre
McDowell, Bryant
Johnson, Laura N. L.
Calcaterra, Luis A.
Belen Fernandez, Maria
Shoemaker, DeWayne
Puckett, Robert T.
Vargo, Edward L.","Supercolonial structure of invasive populations of the tawny crazy ant
Nylanderia fulva in the US","BMC EVOL BIOL","LARGE-SCALE UNICOLONIALITY; ARGENTINE ANT; NESTMATE RECOGNITION;
LINEPITHEMA-HUMILE; FIRE ANT; WASMANNIA-AUROPUNCTATA; CLONAL
REPRODUCTION; SEX DETERMINATION; GENETIC-STRUCTURE; COLONY STRUCTURE","Invasive species; Mating system; Colony structure; Supercolonies; Social
insects; Ants","BackgroundSocial insects are among the most serious invasive pests in the world, particularly successful at monopolizing environmental resources to outcompete native species and achieve ecological dominance. The invasive success of some social insects is enhanced by their unicolonial structure, under which the presence of numerous queens and the lack of aggression against non-nestmates allow high worker densities, colony growth, and survival while eliminating intra-specific competition. In this study, we investigated the population genetics, colony structure and levels of aggression in the tawny crazy ant, Nylanderia fulva, which was recently introduced into the United States from South America.ResultsWe found that this species experienced a genetic bottleneck during its invasion lowering its genetic diversity by 60%. Our results show that the introduction of N. fulva is associated with a shift in colony structure. This species exhibits a multicolonial organization in its native range, with colonies clearly separated from one another, whereas it displays a unicolonial system with no clear boundaries among nests in its invasive range. We uncovered an absence of genetic differentiation among populations across the entire invasive range, and a lack of aggressive behaviors towards conspecifics from different nests, even ones separated by several hundreds of kilometers.ConclusionsOverall, these results suggest that across its entire invasive range in the U.S.A., this species forms a single supercolony spreading more than 2000km. In each invasive nest, we found several, up to hundreds, of reproductive queens, each being mated with a single male. The many reproductive queens per nests, together with the free movement of individuals between nests, leads to a relatedness coefficient among nestmate workers close to zero in introduced populations, calling into question the stability of this unicolonial system in which indirect fitness benefits to workers is apparently absent.","BMC","DEC 29",2018,"101186s1286201813365","[Eyer, Pierre-Andre; McDowell, Bryant; Johnson, Laura N. L.; Puckett, Robert T.; Vargo, Edward L.] Texas A&M Univ, Dept Entomol, College Stn, TX 77843 USA./[Calcaterra, Luis A.; Belen Fernandez, Maria] FuEDEI, Bolivar 1559,B1686EFA Hurlingham, Buenos Aires, DF, Argentina./[Calcaterra, Luis A.; Belen Fernandez, Maria] Consejo Nacl Invest Cient & Tecn, Bolivar 1559,B1686EFA Hurlingham, Buenos Aires, DF, Argentina./[Shoemaker, DeWayne] Univ Tennessee, Dept Entomol & Plant Pathol, Knoxville, TN 37996 USA.","Eyer, PA (reprint author), Texas A&M Univ, Dept Entomol, College Stn, TX 77843 USA.",NA
"3","Joo, Rocio
Etienne, Marie-Pierre
Bez, Nicolas
Mahevas, Stephanie","Metrics for describing dyadic movement: a review","MOV ECOL","TEMPORAL INTERACTION; DYNAMIC INTERACTION; ANIMAL MOVEMENT; INDICATORS;
PERSPECTIVE; SYNCHRONY; FRAMEWORK; MODELS; TEAM","Collective behaviour; Dyadic movement; Indices; Movement ecology;
Spatio-temporal dynamics; Trajectories","In movement ecology, the few works that have taken collective behaviour into account are data-driven and rely on simplistic theoretical assumptions, relying in metrics that may or may not be measuring what is intended. In the present paper, we focus on pairwise joint-movement behaviour, where individuals move together during at least a segment of their path. We investigate the adequacy of twelve metrics introduced in previous works for assessing joint movement by analysing their theoretical properties and confronting them with contrasting case scenarios. Two criteria are taken into account for review of those metrics: 1) practical use, and 2) dependence on parameters and underlying assumptions. When analysing the similarities between the metrics as defined, we show how some of them can be expressed using general mathematical forms. In addition, we evaluate the ability of each metric to assess specific aspects of joint-movement behaviour: proximity (closeness in space-time) and coordination (synchrony) in direction and speed. We found that some metrics are better suited to assess proximity and others are more sensitive to coordination. To help readers choose metrics, we elaborate a graphical representation of the metrics in the coordination and proximity space based on our results, and give a few examples of proximity and coordination focus in different movement studies.","BMC","DEC 27",2018,"101186s4046201801442","[Joo, Rocio] Univ Florida, Dept Wildlife Ecol & Conservat, Ft Lauderdale Res & Educ Ctr, 3205 Coll Ave, Davie, FL 33314 USA./[Joo, Rocio; Mahevas, Stephanie] Ecol & Modeles Halieut, IFREMER, BP 21105, F-44311 Nantes 03, France./[Etienne, Marie-Pierre] Univ Rennes, CNRS, Agrocampus Ouest, IRMAR,UMR 6625, F-35000 Rennes, France./[Bez, Nicolas] Univ Montpellier, CNRS, MARBEC, IRD,Ifremer, Sete, France.","Joo, R (reprint author), Univ Florida, Dept Wildlife Ecol & Conservat, Ft Lauderdale Res & Educ Ctr, 3205 Coll Ave, Davie, FL 33314 USA.; Joo, R (reprint author), Ecol & Modeles Halieut, IFREMER, BP 21105, F-44311 Nantes 03, France.",NA
"4","Blanchard, Pierrick
Lauzeral, Christine
Chamaille-Jammes, Simon
Brunet, Clement
Lec'hvien, Arnaud
Peron, Guillaume
Pontier, Dominique","Coping with change in predation risk across space and time through
complementary behavioral responses","BMC ECOL","FELIS-CATUS L.; HABITAT USE; ANTIPREDATOR BEHAVIOR; VIGILANCE BEHAVIOR;
GROUP-SIZE; TRADE-OFF; COVER; RABBITS; POPULATION; MANAGEMENT","Vigilance; Habitat use; Prey; Predation risk; Predator; Behavior","BackgroundOur picture of behavioral management of risk by prey remains fragmentary. This partly stems from a lack of studies jointly analyzing different behavioral responses developed by prey, such as habitat use and fine-scale behavior, although they are expected to complement each other. We took advantage of a simple system on the Kerguelen archipelago, made of a prey species, European rabbit Oryctolagus cuniculus, a predator, feral cat Felis catus, and a mosaic of closed and open foraging patches, allowing reliable assessment of spatio-temporal change in predation risk. We investigated the way such a change triggered individual prey decisions on where, when and how to perform routine activities.ResultsRabbit presence and behavior were recorded both day and night in patches with similar foraging characteristics, but contrasted in terms of openness. Cats, individually recognizable, were more active at night and in closed patches, in line with their expected higher hunting success in those conditions. Accordingly, rabbits avoided using closed patches at night and increased their vigilance if they did. Both day and night, rabbits increased their use of closed patches as compared to open patches in windy conditions, thereby probably reducing the thermoregulatory costs expected under such harsh environmental conditions.ConclusionsOverall, our data map the landscape of fear in this study system and indicate that prey habitat use and vigilance complement each other. Solely focusing on one or the other tactic may lead to erroneous conclusions regarding the way predation risk triggers prey decisions. Finally, future studies should investigate inter-individual variability in the relative use of these different types of complementary behavioral responses to perceived risk, along with the determinants and outcomes of such tactics.","BMC","DEC 20",2018,"101186s1289801802157","[Blanchard, Pierrick; Lauzeral, Christine] Univ Toulouse III Paul Sabatier, Lab Evolut & Diversite Biol, CNRS, UMR 5174, Toulouse, France./[Chamaille-Jammes, Simon] Univ Paul Valery Montpellier, Ctr Ecol Fonct & Evolut, UMR 5175, CNRS,Univ Montpellier,EPHE, 1919 Route Mende, F-34293 Montpellier 5, France./[Brunet, Clement; Lec'hvien, Arnaud; Peron, Guillaume; Pontier, Dominique] Univ Lyon I Claude Bernard, Lab Biometrie & Biol Evolut, CNRS, UMR 5558,Univ Lyon, Villeurbanne, France.","Blanchard, P (reprint author), Univ Toulouse III Paul Sabatier, Lab Evolut & Diversite Biol, CNRS, UMR 5174, Toulouse, France.",NA
"5","Oudman, Thomas
Piersma, Theunis
Salem, Mohamed V. Ahmedou
Feis, Marieke E.
Dekinga, Anne
Holthuijsen, Sander
ten Horn, Job
van Gils, Jan A.
Bijleveld, Allert I.","Resource landscapes explain contrasting patterns of aggregation and site
fidelity by red knots at two wintering sites","MOV ECOL","CALIDRIS-CANUTUS; INTERFERENCE COMPETITION; INDIVIDUAL-DIFFERENCES;
PUBLIC INFORMATION; BANC-DARGUIN; HABITAT USE; WADDEN SEA; MOVEMENT;
FOOD; SCALE","Aggregation; Foraging; Heterogeneity; Intertidal; Movement;
Predator-prey interactions; Red knots; Site fidelity; Time-of-arrival;
Tracking","BackgroundSpace use strategies by foraging animals are often considered to be species-specific. However, similarity between conspecific strategies may also result from similar resource environments. Here, we revisit classic predictions of the relationships between the resource distribution and foragers' space use by tracking free-living foragers of a single species in two contrasting resource landscapes. At two main non-breeding areas along the East-Atlantic flyway (Wadden Sea, The Netherlands and Banc d'Arguin, Mauritania), we mapped prey distributions and derived resource landscapes in terms of the predicted intake rate of red knots (Calidris canutus), migratory molluscivore shorebirds. We tracked the foraging paths of 13 and 38 individual red knots at intervals of 1s over two and five weeks in the Wadden Sea and at Banc d'Arguin, respectively. Mediated by competition for resources, we expected aggregation to be strong and site fidelity weak in an environment with large resource patches. The opposite was expected for small resource patches, but only if local resource abundances were high.ResultsCompared with Banc d'Arguin, resource patches in the Wadden Sea were larger and the maximum local resource abundance was higher. However, because of constraints set by digestive capacity, the average potential intake rates by red knots were similar at the two study sites. Space-use patterns differed as predicted from these differences in resource landscapes. Whereas foraging red knots in the Wadden Sea roamed the mudflats in high aggregation without site fidelity (i.e. grouping nomads), at Banc d'Arguin they showed less aggregation but were strongly site-faithful (i.e. solitary residents).ConclusionThe space use pattern of red knots in the two study areas showed diametrically opposite patterns. These differences could be explained from the distribution of resources in the two areas. Our findings imply that intraspecific similarities in space use patterns represent responses to similar resource environments rather than species-specificity. To predict how environmental change affects space use, we need to understand the degree to which space-use strategies result from developmental plasticity and behavioural flexibility. This requires not only tracking foragers throughout their development, but also tracking their environment in sufficient spatial and temporal detail.","BMC","DEC 20",2018,"101186s4046201801424","[Oudman, Thomas; Piersma, Theunis; Feis, Marieke E.; Dekinga, Anne; Holthuijsen, Sander; ten Horn, Job; van Gils, Jan A.; Bijleveld, Allert I.] NIOZ Royal Netherlands Inst Sea Res, Dept Coastal Syst, POB 59, NL-1790 AB Den Burg, Texel, Netherlands./[Oudman, Thomas; Piersma, Theunis; Feis, Marieke E.; Dekinga, Anne; Holthuijsen, Sander; ten Horn, Job; van Gils, Jan A.; Bijleveld, Allert I.] Univ Utrecht, POB 59, NL-1790 AB Den Burg, Texel, Netherlands./[Oudman, Thomas] Univ St Andrews, Sch Biol, Ctr Biol Divers, St Andrews KY16 9TF, Fife, Scotland./[Piersma, Theunis] Univ Groningen, Groningen Inst Evolutionary Life Sci GELIFES, Conservat Ecol Grp, Rudi Drent Chair Global Flyway Ecol, POB 11103, NL-9700 CC Groningen, Netherlands./[Salem, Mohamed V. Ahmedou] Univ Nouakchott Al Aasriya, Dept Biol, EBIOME Ecobiol Marine & Environm, BP 880, Nouakchott, Mauritania./[Feis, Marieke E.] Sorbonne Univ, CNRS, Stn Biol Roscoff, Lab Adaptat & Divers Milieu Marin,UMR 7144, CS90074, F-29688 Roscoff, France.","Oudman, T (reprint author), NIOZ Royal Netherlands Inst Sea Res, Dept Coastal Syst, POB 59, NL-1790 AB Den Burg, Texel, Netherlands.; Oudman, T (reprint author), Univ Utrecht, POB 59, NL-1790 AB Den Burg, Texel, Netherlands.; Oudman, T (reprint author), Univ St Andrews, Sch Biol, Ctr Biol Divers, St Andrews KY16 9TF, Fife, Scotland.",NA
"6","Labinger, Eli
Monson, Jenna R.
Franchak, John M.","Effectiveness of adult's spontaneous exploration while perceiving
affordances for squeezing through doorways","PLOS ONE","MIXED-EFFECTS MODELS; VISUAL GUIDANCE; SCALED INFORMATION; PERCEPTION;
WALKING; BODY; INFANTS; OBJECT; SPECIFICITY; MOVEMENT",NA,"When motor abilities change, people need to generate information to recalibrate their perception through active exploration. Most prior research has focused on observer's ability to update perception by executing experimenter-specified exploratory behaviors, however, the question of how observers spontaneously choose how to explore has been overlooked. We asked how effectively adults decide to explore when adapting to changes in their ability to squeeze through doorways. Results revealed that participants made efficient decisions about when to explore by approaching and practicing-they most often explored doorways that were near the limit of their abilities, and participants explored less often as their perceptual calibration improved. However, participants made sub-optimal decisions about how to explore, which resulted in a failure to fully recalibrate. We discuss the implications of these findings for understanding the processes of perceptual-motor recalibration that underlie real-world behavior.","PUBLIC LIBRARY SCIENCE","DEC 20",2018,"101371journalpone0209298","[Labinger, Eli; Monson, Jenna R.; Franchak, John M.] Univ Calif Riverside, Dept Psychol, Riverside, CA 92521 USA.","Franchak, JM (reprint author), Univ Calif Riverside, Dept Psychol, Riverside, CA 92521 USA.",NA
"7","Bacher, M. G.
Fenton, O.
Bondi, G.
Creamer, R. E.
Karmarkar, M.
Schmidt, O.","The impact of cattle dung pats on earthworm distribution in grazed
pastures","BMC ECOL","SOIL PROPERTIES; ORGANIC-MATTER; GRASSLAND; POPULATIONS; DECOMPOSITION;
DISAPPEARANCE; COMMUNITIES; INTENSITY; DYNAMICS; NITROGEN","Grassland; Earthworms; Lumbricidae; Soil fauna; Soil biodiversity;
Sampling; Spatial distribution; Population aggregation; Populations","BackgroundGrazed grassland management regimes can have various effects on soil fauna. For example, effects on earthworms can be negative through compaction induced by grazing animals, or positive mediated by increases in sward productivity and cattle dung pats providing a food source. Knowledge gaps exist in relation to the behaviour of different earthworm species i.e. their movement towards and aggregation under dung pats, the legacy effects of pats and the spatial area of recruitment. The present study addressed these knowledge gaps in field experiments, over 2years, using natural and simulated dung pats on two permanent, intensively grazed pastures in Ireland.ResultsDung pats strongly affected spatial earthworm distribution, with up to four times more earthworms aggregating beneath pats, than in the control locations away from pats. In these earthworm communities comprising 11 species, temporally different aggregation and dispersal patterns were observed, including absence of individual species from control locations, but no clear successional responses. Epigeic species in general, but also certain species of the anecic and endogeic groups were aggregating under dung. Sampling after complete dung pat disappearance (27weeks after application) suggested an absence of a dung pat legacy effect on earthworm communities. Based on species distributions, the maximum size of the recruitment area from which earthworms moved to pats was estimated to be 3.8m(2) per dung pat. Since actual grazing over 6weeks would result in the deposition of about 300 dung pats per ha, it is estimated that a surface area of 1140m(2) or about 11% of the total grazing area can be influenced by dung pats in a given grazing period.ConclusionsThis study showed that the presence of dung pats in pastures creates temporary hot spots in spatial earthworm species distribution, which changes over time. The findings highlight the importance of considering dung pats, temporally and spatially, when sampling earthworms in grazed pastures. Published comparisons of grazed and cut grasslands probably reached incorrect conclusions by ignoring or deliberately avoiding dung pats. Furthermore, the observed intense aggregation of earthworms beneath dung pats suggests that earthworm functions need to be assessed separately at these hot spots.","BMC","DEC 19",2018,"101186s1289801802166","[Bacher, M. G.; Fenton, O.; Bondi, G.; Karmarkar, M.] TEAGASC, Environm Res Ctr, Wexford, Ireland./[Bacher, M. G.; Schmidt, O.] Univ Coll Dublin, UCD Sch Agr & Food Sci, Dublin 4, Ireland./[Creamer, R. E.] Wageningen Univ, Soil Biol Grp, Wageningen, Netherlands./[Schmidt, O.] Univ Coll Dublin, UCD Earth Inst, Dublin 4, Ireland.","Bacher, MG (reprint author), TEAGASC, Environm Res Ctr, Wexford, Ireland.",NA
"8","Diosdado, Jorge A. Vazquez
Barker, Zoe E.
Hodges, Holly R.
Amory, Jonathan R.
Croft, Darren P.
Bell, Nick J.
Codling, Edward A.","Space-use patterns highlight behavioural differences linked to lameness,
parity, and days in milk in barn-housed dairy cows","PLOS ONE","FEEDING-BEHAVIOR; LYING BEHAVIOR; HINDLIMB LAMENESS; SIDE PREFERENCE;
ENTRANCE ORDER; HOME RANGES; MOVEMENT; SYSTEM; ASSOCIATIONS; OVERLAP",NA,"Lameness is a key health and welfare issue affecting commercial herds of dairy cattle, with potentially significant economic impacts due to the expense of treatment and lost milk production. Existing lameness detection methods can be time-intensive, and under-detection remains a significant problem leading to delayed or missed treatment. Hence, there is a need for automated monitoring systems that can quickly and accurately detect lameness in individual cows within commercial dairy herds. Recent advances in sensor tracking technology have made it possible to observe the movement, behaviour and space-use of a range of animal species over extended time-scales. However, little is known about how observed movement behaviour and space-use patterns in individual dairy cattle relate to lameness, or to other possible confounding factors such as parity or number of days in milk. In this cross-sectional study, ten lame and ten non-lame barn-housed dairy cows were classified through mobility scoring and subsequently tracked using a wireless local positioning system. Nearly 900,000 spatial locations were recorded in total, allowing a range of movement and spaceuse measures to be determined for each individual cow. Using linear models, we highlight where lameness, parity, and the number of days in milk have a significant effect on the observed space-use patterns. Non-lame cows spent more time, and had higher site fidelity (on a day-to-day basis they were more likely to revisit areas they had visited previously), in the feeding area. Non-lame cows also had a larger full range size within the barn. In contrast, lame cows spent more time, and had a higher site-fidelity, in the cubicle (resting) areas of the barn than non-lame cows. Higher parity cows were found to spend more time in the right-hand-side area of the barn, closer to the passageway to the milking parlour. The number of days in milk was found to positively affect the core range size, but with a negative interaction effect with lameness. Using a simple predictive model, we demonstrate how it is possible to accurately determine the lameness status of all individual cows within the study 16 using only two observed space-use measures, the proportion of time spent in the feeding area and the full range size. Our findings suggest that differences in individual movement and space-use behaviour could be used as indicators of health status for automated monitoring within a Precision Livestock Farming approach, potentially leading to faster diagnosis and treatment, and improved animal welfare for dairy cattle and other managed animal species.","PUBLIC LIBRARY SCIENCE","DEC 19",2018,"101371journalpone0208424","[Diosdado, Jorge A. Vazquez; Codling, Edward A.] Univ Essex, Dept Math Sci, Colchester, Essex, England./[Barker, Zoe E.; Hodges, Holly R.; Amory, Jonathan R.] Writtle Univ Coll, Chelmsford, Essex, England./[Croft, Darren P.] Univ Exeter, Coll Life & Environm Sci, Ctr Res Anim Behav, Exeter, Devon, England./[Bell, Nick J.] Royal Vet Coll, Hatfield, Herts, England./[Diosdado, Jorge A. Vazquez] Univ Nottingham, Sch Vet Med & Sci, Sutton Bonington Campus, Leicester, Leics, England./[Bell, Nick J.] Bos Int Ltd, Wimborne, Dorset, England.","Codling, EA (reprint author), Univ Essex, Dept Math Sci, Colchester, Essex, England.",NA
"9","Judge, Richard
Choi, Francis
Helmuth, Brian","Recent Advances in Data Logging for Intertidal Ecology","FRONT ECOL EVOL","CLIMATE-CHANGE; BODY TEMPERATURES; THERMAL-STRESS; BEHAVIORAL
THERMOREGULATION; SHORE HEIGHT; MYTILUS-CALIFORNIANUS; WAVE EXPOSURE;
IN-SITU; PHYSIOLOGICAL-RESPONSES; SPECIES RESPONSES","behavior; climate change; biomimetic sensor; intertidal; logging;
thermal physiology","Temperature is among the most ubiquitous determinants of organism growth, survival, and reproduction. Accurate recordings and predictions of how the temperatures of plants and animals vary in time and space are therefore critical to forecasting the likely impacts of global climate change. Intertidal zones have long served as a model ecosystem for examining the role of environmental stress on patterns of species distributions, and are emerging as models for understanding the ecological impacts of climate change. Intertidal environments are among the most physically demanding habitats on the planet, and excursions in body temperature of ectotherms can exceed 25 degrees C over the course of a few hours. It is now well-known that the body temperatures of intertidal organisms can deviate significantly from the temperature of the surrounding air and substrate due to the influence of solar radiation, and that their size, color, morphology, and material properties markedly influence their temperatures. While many intertidal organisms are slow moving or almost entirely sessile, for others, behavior can play a significant role in driving vulnerability to temperature extremes. We explore datalogging methods used in intertidal zones and discuss the advantages and drawbacks of each. We show how measurements made in situ reveal patterns of thermal stress that otherwise would be undetectable using more remotely-sensed data. Additionally, we explore the idea that the relevant ""grain size"" of the physical environment, and thus the spatial scale that must be measured, is a function of (1) the size of the organism relative to local refugia; (2) an organism's ability to sense and to some degree predict near-term environmental conditions; and (3) an animal's movement speed and directionality toward refugia. Similarly, relevant temporal scales depend on the size, behavior, and physiological response of the organism. While miniaturization of dataloggers has significantly improved, several significant limitations still exist, many of which relate to difficulties in recording behavioral responses to changing environmental conditions. We discuss recent innovations in monitoring and modeling intertidal temperatures, and the important role that they have played in bridging ecological and physiological studies of ongoing impacts of climate change.","FRONTIERS MEDIA SA","DEC 18",2018,"103389fevo201800213","[Judge, Richard; Choi, Francis; Helmuth, Brian] Northeastern Univ, Ctr Marine Sci, Dept Marine & Environm Sci, Nahant, MA 01908 USA.","Helmuth, B (reprint author), Northeastern Univ, Ctr Marine Sci, Dept Marine & Environm Sci, Nahant, MA 01908 USA.",NA
"10","Hojo, Motokazu
Fujii, Keisuke
Inaba, Yuki
Motoyasu, Yoichi
Kawahara, Yoshinobu","Automatically recognizing strategic cooperative behaviors in various
situations of a team sport","PLOS ONE","DRIBBLER",NA,"Understanding multi-agent cooperative behavior is challenging in various scientific and engineering domains. In some cases, such as team sports, many cooperative behaviors can be visually categorized and labeled manually by experts. However, these actions which are manually categorized with the same label based on its function have low spatiotemporal similarity. In other words, it is difficult to find similar and different structures of the motions with the same and different labels, respectively. Here, we propose an automatic recognition system for strategic cooperative plays, which are the minimal, basic, and diverse plays in a ball game. Using player's moving distance, geometric information, and distances among players, the proposed method accurately discriminated not only the cooperative plays in a primary area, i.e., near the ball, but also those distant from a primary area. We also propose a method to classify more detailed types of cooperative plays in various situations. The proposed framework, which sheds light on inconspicuous players to play important roles, could have a potential to detect well-defined and labeled cooperative behaviors.","PUBLIC LIBRARY SCIENCE","DEC 18",2018,"101371journaIpone0209247","[Hojo, Motokazu; Fujii, Keisuke; Kawahara, Yoshinobu] RIKEN, Ctr Adv Intelligence Project, Osaka, Japan./[Inaba, Yuki] Japanese Inst Sports Sci, Tokyo, Japan./[Motoyasu, Yoichi] Tokuyama Univ, Yamaguchi, Japan./[Kawahara, Yoshinobu] Osaka Univ, Inst Sci & Ind Res, Osaka, Japan.","Fujii, K (reprint author), RIKEN, Ctr Adv Intelligence Project, Osaka, Japan.",NA
