"paper","word"
"101371journalpone0209406","plant"
"101371journalpone0209406","pollinator"
"101371journalpone0209406","network"
"101371journalpone0209406","widely"
"101371journalpone0209406","understand"
"101371journalpone0209406","ecology"
"101371journalpone0209406","interaction"
"101371journalpone0209406","plant"
"101371journalpone0209406","animal"
"101371journalpone0209406","pattern"
"101371journalpone0209406","identify"
"101371journalpone0209406","mechanism"
"101371journalpone0209406","underlie"
"101371journalpone0209406","structure"
"101371journalpone0209406","plant"
"101371journalpone0209406","pollinator"
"101371journalpone0209406","network"
"101371journalpone0209406","poorly"
"101371journalpone0209406","understand"
"101371journalpone0209406","agent"
"101371journalpone0209406","model"
"101371journalpone0209406","abm"
"101371journalpone0209406","simulate"
"101371journalpone0209406","movement"
"101371journalpone0209406","bee"
"101371journalpone0209406","heterogeneous"
"101371journalpone0209406","landscape"
"101371journalpone0209406","capture"
"101371journalpone0209406","pollination"
"101371journalpone0209406","event"
"101371journalpone0209406","enable"
"101371journalpone0209406","influence"
"101371journalpone0209406","landscape"
"101371journalpone0209406","pattern"
"101371journalpone0209406","pollination"
"101371journalpone0209406","network"
"101371journalpone0209406","explore"
"101371journalpone0209406","model"
"101371journalpone0209406","conduct"
"101371journalpone0209406","series"
"101371journalpone0209406","experiment"
"101371journalpone0209406","virtual"
"101371journalpone0209406","landscape"
"101371journalpone0209406","represent"
"101371journalpone0209406","gradient"
"101371journalpone0209406","forest"
"101371journalpone0209406","loss"
"101371journalpone0209406","fragmentation"
"101371journalpone0209406","abm"
"101371journalpone0209406","produce"
"101371journalpone0209406","expect"
"101371journalpone0209406","trend"
"101371journalpone0209406","network"
"101371journalpone0209406","structure"
"101371journalpone0209406","simulation"
"101371journalpone0209406","interaction"
"101371journalpone0209406","individual"
"101371journalpone0209406","plant"
"101371journalpone0209406","pollinator"
"101371journalpone0209406","result"
"101371journalpone0209406","increase"
"101371journalpone0209406","index"
"101371journalpone0209406","complementary"
"101371journalpone0209406","specialization"
"101371journalpone0209406","decline"
"101371journalpone0209406","network"
"101371journalpone0209406","increase"
"101371journalpone0209406","forest"
"101371journalpone0209406","cover"
"101371journalpone0209406","network"
"101371journalpone0209406","degree"
"101371journalpone0209406","forest"
"101371journalpone0209406","cover"
"101371journalpone0209406","positively"
"101371journalpone0209406","relate"
"101371journalpone0209406","forest"
"101371journalpone0209406","patch"
"101371journalpone0209406","size"
"101371journalpone0209406","support"
"101371journalpone0209406","result"
"101371journalpone0209406","obtain"
"101371journalpone0209406","field"
"101371journalpone0209406","illustrate"
"101371journalpone0209406","potential"
"101371journalpone0209406","explore"
"101371journalpone0209406","structure"
"101371journalpone0209406","dynamic"
"101371journalpone0209406","plant"
"101371journalpone0209406","pollinator"
"101371journalpone0209406","network"
"101371journalpone0209406","understand"
"101371journalpone0209406","mechanism"
"101371journalpone0209406","underlie"
"101371journalpone0209406","attribute"
"101371journalpone0209406","result"
"101371journalpone0209406","obtain"
"101371journalpone0209406","primarily"
"101371journalpone0209406","shift"
"101371journalpone0209406","specialist"
"101371journalpone0209406","generalist"
"101371journalpone0209406","pollinator"
"101371journalpone0209406","increase"
"101371journalpone0209406","forest"
"101371journalpone0209406","loss"
"101371journalpone0209406","trend"
"101371journalpone0209406","observe"
"101371journalpone0209406","field"
"101371journalpone0209406","situation"
"101186s1286201813365","insect"
"101186s1286201813365","invasive"
"101186s1286201813365","pest"
"101186s1286201813365","world"
"101186s1286201813365","successful"
"101186s1286201813365","environmental"
"101186s1286201813365","resource"
"101186s1286201813365","native"
"101186s1286201813365","species"
