"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"22163701","PMC3231264","10.3390/s111009393","PMC3231264.1","",1,1,"",""
"22164019","PMC3231731","10.3390/s110807314","PMC3231731.1","",1,1,"",""
"22319288","PMC3274180","10.3390/s100403090","PMC3274180.1","",1,1,"",""
"22423204","PMC3290513","10.3390/s90907069","PMC3290513.1","",1,1,"",""
"22438750","PMC3304152","10.3390/s120202005","PMC3304152.1","",1,1,"",""
"22574061","PMC3348829","10.3390/s90403033","PMC3348829.1","",1,1,"",""
"22737022","PMC3376555","10.3390/s120303512","PMC3376555.1","",1,1,"",""
"22778613","PMC3386712","10.3390/s120505791","PMC3386712.1","",1,1,"",""
"24253189","PMC3871085","10.3390/s131115692","PMC3871085.1","",1,1,"",""
"24945676","PMC4118339","10.3390/s140610691","PMC4118339.1","",1,1,"",""
"24919015","PMC4118351","10.3390/s140610146","PMC4118351.1","",1,1,"",""
"25302810","PMC4239903","10.3390/s141018625","PMC4239903.1","",1,1,"",""
"25340454","PMC4239955","10.3390/s141019861","PMC4239955.1","",1,1,"",""
"25789489","PMC4435165","10.3390/s150306419","PMC4435165.1","",1,1,"",""
"26479231","PMC4494414","10.3390/ani5020214","PMC4494414.1","",1,1,"",""
"26393595","PMC4610483","10.3390/s150923727","PMC4610483.1","",1,1,"",""
"26694387","PMC4721787","10.3390/s151229867","PMC4721787.1","",1,1,"",""
"26867197","PMC4801601","10.3390/s16020225","PMC4801601.1","",1,1,"",""
"27023543","PMC4850940","10.3390/s16040426","PMC4850940.1","",1,1,"",""
"27376303","PMC4970066","10.3390/s16071016","PMC4970066.1","",1,1,"",""
"27490573","PMC4997270","10.3390/ani6080045","PMC4997270.1","",1,1,"",""
"27463719","PMC5017327","10.3390/s16081161","PMC5017327.1","",1,1,"",""
"27740601","PMC5082306","10.3390/ani6100060","PMC5082306.1","",1,1,"",""
"27775625","PMC5087531","10.3390/s16101746","PMC5087531.1","",1,1,"",""
"27801839","PMC5134468","10.3390/s16111809","PMC5134468.1","",1,1,"",""
"28067800","PMC5298669","10.3390/s17010096","PMC5298669.1","",1,1,"",""
"28208707","PMC5335924","10.3390/s17020309","PMC5335924.1","",1,1,"",""
"28257039","PMC5375771","10.3390/s17030485","PMC5375771.1","",1,1,"",""
"28272362","PMC5375815","10.3390/s17030529","PMC5375815.1","",1,1,"",""
"28350324","PMC5421652","10.3390/s17040692","PMC5421652.1","",1,1,"",""
"28387745","PMC5422070","10.3390/s17040797","PMC5422070.1","",1,1,"",""
"28534857","PMC5470905","10.3390/s17051159","PMC5470905.1","",1,1,"",""
"28604607","PMC5492838","10.3390/s17061359","PMC5492838.1","",1,1,"",""
"28737732","PMC5539477","10.3390/s17071698","PMC5539477.1","",1,1,"",""
"28805751","PMC5579923","10.3390/s17081872","PMC5579923.1","",1,1,"",""
"28926989","PMC5615303","10.3390/ani7090072","PMC5615303.1","",1,1,"",""
"28956861","PMC5664034","10.3390/ani7100075","PMC5664034.1","",1,1,"",""
"29207550","PMC5742786","10.3390/ani7120092","PMC5742786.1","",1,1,"",""
"29206189","PMC5751552","10.3390/s17122820","PMC5751552.1","",1,1,"",""
"29301340","PMC5789301","10.3390/ani8010006","PMC5789301.1","",1,1,"",""
"29324700","PMC5789307","10.3390/ani8010012","PMC5789307.1","",1,1,"",""
"29351262","PMC5795510","10.3390/s18010302","PMC5795510.1","",1,1,"",""
